,originalTitle,brTitle
456,Judgment Night (1993),Uma Jogada do Destino (1993)
457,Jurassic Park (1993),Parque dos Dinossauros (1993)
458,Kalifornia (1993),Kalifornia: Uma Viagem ao Inferno (1993)
459,Killing Zoe (1994),Parceiros do Crime (1994)
460,King of the Hill (1993),O Inventor de Ilusões (1993)
461,Lassie (1994),Lassie (1994)
462,Last Action Hero (1993),O Último Grande Herói (1993)
463,Life with Mikey (1993),A Vida Com Mikey (1993)
464,Lightning Jack (1994),Rapidinho no Gatilho (1994)
465,M. Butterfly (1993),M. Butterfly (1993)
466,Made in America (1993),Feita por Encomenda (1993)
467,Malice (1993),Malícia (1993)
468,"Man Without a Face, The (1993)",O Homem sem Face (1993)
469,Manhattan Murder Mystery (1993),Um Misterioso Assassinato em Manhattan (1993)
470,Menace II Society (1993),Perigo para a Sociedade (1993)
471,Executive Decision (1996),Momento Crítico (1996)
472,In the Realm of the Senses (Ai no corrida) (1976),O Império dos Sentidos (1976)
473,What Happened Was... (1994),Romance entre Amigos (1994)
474,Much Ado About Nothing (1993),Muito Barulho por Nada (1993)
475,Mr. Jones (1993),Mr. Jones (1993)
476,Mr. Wonderful (1993),Um Amor de Verdade (1993)
477,Mrs. Doubtfire (1993),Uma Babá Quase Perfeita (1993)
478,Naked (1993),Nu (1993)
479,"Next Karate Kid, The (1994)",Karatê Kid 4: A Nova Aventura (1994)
480,"New Age, The (1994)",Loucuras de um Divórcio (1994)
481,No Escape (1994),Fuga de Absolom (1994)
482,North (1994),O Anjo da Guarda (1994)
483,Orlando (1992),"Orlando, a Mulher Imortal (1992)"
484,"Perfect World, A (1993)",Um Mundo Perfeito (1993)
485,Philadelphia (1993),Filadélfia (1993)
486,"Piano, The (1993)",O Piano (1993)
487,Poetic Justice (1993),Sem Medo no Coração (1993)
488,"Program, The (1993)",O Programa (1993)
489,"Puppet Masters, The (1994)",Sob o Domínio dos Aliens (1994)
490,Radioland Murders (1994),Assassinatos na Rádio WBN (1994)
491,"Ref, The (1994)",O Árbitro (1994)
492,"Remains of the Day, The (1993)",Vestígios do Dia (1993)
493,Renaissance Man (1994),Um Novo Homem (1994)
494,Rising Sun (1993),Sol Nascente (1993)
495,"Road to Wellville, The (1994)",O Fantástico Mundo do Dr. Kellogg (1994)
496,RoboCop 3 (1993),RoboCop 3 (1993)
497,Robin Hood: Men in Tights (1993),A Louca! Louca História de Robin Hood (1993)
498,Romeo Is Bleeding (1993),O Sangue de Romeo (1993)
499,Romper Stomper (1992),Skinheads - A Força Branca (1992)
500,Ruby in Paradise (1993),O Sol do Paraíso (1993)
501,Rudy (1993),Rudy (1993)
502,"Saint of Fort Washington, The (1993)",Alguém Para Dividir os Sonhos (1993)
503,"Savage Nights (Nuits fauves, Les) (1992)",Noites Felinas (1992)
504,Schindler's List (1993),A Lista de Schindler (1993)
505,"Scout, The (1994)",O Pancada (1994)
506,Searching for Bobby Fischer (1993),Lances Inocentes (1993)
507,"Secret Garden, The (1993)",O Jardim Secreto (1993)
508,Serial Mom (1994),Mamãe é de Morte (1994)
509,"Shadow, The (1994)",O Sombra (1994)
510,Shadowlands (1993),Terra das Sombras (1993)
511,Short Cuts (1993),Short Cuts - Cenas da Vida (1993)
512,"Simple Twist of Fate, A (1994)",Uma Virada do Destino (1994)
513,Sirens (1994),Sereias (1994)
514,Six Degrees of Separation (1993),Seis Graus de Separação (1993)
515,Sleepless in Seattle (1993),Sintonia de Amor (1993)
516,Sliver (1993),Invasão de Privacidade (1993)
517,Blade Runner (1982),Blade Runner: O Caçador de Androides (1982)
518,Son in Law (1993),O Genro dos Meus Sonhos (1993)
519,So I Married an Axe Murderer (1993),Uma Noiva e Tanto (1993)
520,Striking Distance (1993),Zona de Perigo (1993)
521,Super Mario Bros. (1993),Super Mario Bros. (1993)
522,Surviving the Game (1994),Sobrevivendo ao Jogo (1994)
523,Terminal Velocity (1994),Velocidade Terminal (1994)
524,Thirty-Two Short Films About Glenn Gould (1993),O Gênio e Excêntrico Glenn Gould em 32 Curtas (1993)
525,Threesome (1994),Três Formas de Amar (1994)
526,"Nightmare Before Christmas, The (1993)",O Estranho Mundo de Jack (1993)
527,"Three Musketeers, The (1993)",Os Três Mosqueteiros (1993)
528,Tombstone (1993),Tombstone: A Justiça Está Chegando (1993)
529,Trial by Jury (1994),Tribunal Sob Suspeita (1994)
530,True Romance (1993),Amor à Queima Roupa (1993)
531,"War Room, The (1993)","War Room, The (1993)"
532,"Pagemaster, The (1994)","Pagemaster, o Mestre da Magia (1994)"
533,Killer (Bulletproof Heart) (1994),Retrato de um Assassino (1994)
534,Welcome to the Dollhouse (1995),Bem-Vindo à Casa de Bonecas (1995)
535,Germinal (1993),Germinal (1993)
536,Chasers (1994),Uma Loura em Apuros (1994)
537,Cronos (1993),Cronos (1993)
538,Naked in New York (1994),Nu em Nova York (1994)
539,Kika (1993),Kika (1993)
540,Bhaji on the Beach (1993),Bhaji na Praia (1993)
541,Little Big League (1994),Um Jogo Divertido (1994)
542,"Slingshot, The (Kådisbellan) (1993)",Loucuras de Garoto (1993)
543,"Wedding Gift, The (1994)","Wedding Gift, The (1994)"
544,"Ciao, Professore! (Io speriamo che me la cavo) (1992)","Ciao, Professore! (Io speriamo che me la cavo) (1992)"
545,Spanking the Monkey (1994),A Mão do Desejo (1994)
546,"Little Rascals, The (1994)",Os Batutinhas (1994)
547,Andre (1994),"André, uma Foca em Minha Casa (1994)"
548,Princess Caraboo (1994),Princesa Caraboo (1994)
549,"Celluloid Closet, The (1995)",O Outro Lado de Hollywood (1995)
550,Métisse (Café au Lait) (1993),Métisse (Café au Lait) (1993)
551,Dear Diary (Caro Diario) (1994),Caro Diário (1994)
552,"Brady Bunch Movie, The (1995)","A Família Sol, Lá, Si, Dó (1995)"
553,Home Alone (1990),Esqueceram de Mim (1990)
554,Ghost (1990),Ghost - Do Outro Lado da Vida (1990)
555,Aladdin (1992),Aladdin (1992)
556,Terminator 2: Judgment Day (1991),O Exterminador do Futuro 2: O Julgamento Final (1991)
557,Dances with Wolves (1990),Dança com Lobos (1990)
558,Batman (1989),Batman (1989)
559,"Silence of the Lambs, The (1991)",O Silêncio dos Inocentes (1991)
560,Snow White and the Seven Dwarfs (1937),Branca de Neve e os 7 Anões (1937)
561,Beauty and the Beast (1991),A Bela e a Fera (1991)
562,Pinocchio (1940),Pinocchio (1940)
563,Pretty Woman (1990),Uma Linda Mulher (1990)
564,Window to Paris (Okno v Parizh) (1994),Salada Russa em Paris (1994)
565,"Wild Bunch, The (1969)",Meu Ódio Será Sua Herança (1969)
566,Love and a .45 (1994),Um Amor e Uma 45 (1994)
567,"Wooden Man's Bride, The (Yan shen) (1994)","Wooden Man's Bride, The (Yan shen) (1994)"
568,"Great Day in Harlem, A (1994)","Great Day in Harlem, A (1994)"
569,"Bye Bye, Love (1995)",Os Descasados (1995)
570,One Fine Day (1996),Um Dia Especial (1996)
571,Candyman: Farewell to the Flesh (1995),Candyman 2: Vingança (1995)
572,Fargo (1996),Fargo (1996)
573,Homeward Bound II: Lost in San Francisco (1996),A Incrível Jornada II: Perdidos em São Francisco (1996)
574,Heavy Metal (1981),Heavy Metal - Universo em Fantasia (1981)
575,Hellraiser: Bloodline (1996),Hellraiser IV: Herança Maldita (1996)
576,"Pallbearer, The (1996)",O Primeiro Amor de um Homem (1996)
577,Jane Eyre (1996),Jane Eyre - Encontro com o Amor (1996)
578,Loaded (1994),Loaded (1994)
579,Bread and Chocolate (Pane e cioccolata) (1973),Pão e Chocolate (1973)
580,"Aristocats, The (1970)",Aristogatas (1970)
581,"Flower of My Secret, The (La flor de mi secreto) (1995)",A Flor do Meu Segredo (1995)
582,Two Much (1995),Quero Dizer que te Amo (1995)
583,Ed (1996),"Ed, um Macaco Muito Louco (1996)"
584,My Favorite Season (1993),Minha Estação Preferida (1993)
585,"Thin Line Between Love and Hate, A (1996)",Entre Tapas e Beijos (1996)
586,"Last Supper, The (1995)",O Último Jantar (1995)
587,Primal Fear (1996),As Duas Faces de um Crime (1996)
588,Carried Away (1996),Atos de Amor (1996)
589,All Dogs Go to Heaven 2 (1996),Todos os Cães Merecem o Céu 2 (1996)
590,Land and Freedom (Tierra y libertad) (1995),Terra E Liberdade (1995)
591,Denise Calls Up (1995),Denise Está Chamando (1995)
592,Theodore Rex (1995),Meu Parceiro é um Dinossauro (1995)
593,"Family Thing, A (1996)",Segredo de Família (1996)
594,Sgt. Bilko (1996),"Bilko, o Sargento Trapalhão (1996)"
595,Jack and Sarah (1995),Jack & Sarah (1995)
596,Girl 6 (1996),Garota 6 (1996)
597,Diabolique (1996),Diabolique (1996)
598,"Little Indian, Big City (Un indien dans la ville) (1994)",Um Índio na Cidade (1994)
599,Nelly & Monsieur Arnaud (1995),Minha Secretária (1995)
600,Courage Under Fire (1996),Coragem sob Fogo (1996)
601,Mission: Impossible (1996),Missão: Impossível (1996)
602,Cold Fever (Á köldum klaka) (1995),Febre Gelada (1995)
603,Moll Flanders (1996),Os Amores de Moll Flanders (1996)
604,"301, 302 (301/302) (1995)","301, 302 (301/302) (1995)"
605,Dragonheart (1996),Coração de Dragão (1996)
606,Eddie (1996),"Eddie, Ninguém Segura esta Mulher (1996)"
607,Purple Noon (Plein soleil) (1960),O Sol por Testemunha (1960)
608,August (1996),Outono de Paixões (1996)
609,James and the Giant Peach (1996),James e o Pêssego Gigante (1996)
610,Fear (1996),Medo (1996)
611,Kids in the Hall: Brain Candy (1996),Em Alto Astral (1996)
612,Faithful (1996),"Fiel, mas nem Tanto (1996)"
613,Underground (1995),Underground: Mentiras de Guerra (1995)
614,All Things Fair (Lust och fägring stor) (1995),Todas As Coisas São Belas (1995)
615,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),O Grande Dragão Branco 2 (1996)
616,Song of the Little Road (Pather Panchali) (1955),A Canção da Estrada (1955)
617,"World of Apu, The (Apur Sansar) (1959)",O Mundo de Apu (1959)
618,Mystery Science Theater 3000: The Movie (1996),O Filme Mais Idiota do Mundo (1996)
619,Space Jam (1996),Space Jam: O Jogo do Século (1996)
620,Barbarella (1968),Barbarella (1968)
621,Some Folks Call It a Sling Blade (1993),Some Folks Call It a Sling Blade (1993)
622,"Run of the Country, The (1995)",Um Passo Para a Liberdade (1995)
623,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Alphaville (1965)
624,Coup de torchon (Clean Slate) (1981),A Lei de Quem Tem o Poder (1981)
625,Tigrero: A Film That Was Never Made (1994),Tigrero: A Film That Was Never Made (1994)
626,It's My Party (1996),A Última Festa (1996)
627,Country Life (1994),Vida no Campo (1994)
628,Operation Dumbo Drop (1995),Operação Dumbo (1995)
629,"Promise, The (Versprechen, Das) (1995)",A Promessa (1995)
630,Mrs. Winterbourne (1996),Amor Por Acidente (1996)
631,Solo (1996),Programado para Matar (1996)
632,"Substitute, The (1996)",O Substituto (1996)
633,True Crime (1996),Atraída Pelo Crime (1996)
634,Butterfly Kiss (1995),O Beijo da Borboleta (1995)
635,Feeling Minnesota (1996),Paixão Bandida (1996)
636,Delta of Venus (1995),Delta de Vênus (1995)
637,Angus (1995),Angus - O Comilão (1995)
638,Daens (1992),Daens - Um Grito de Justiça (1992)
639,Faces (1968),Faces (1968)
640,Boys (1996),Jovens e Apaixonados (1996)
641,"Quest, The (1996)",Desafio Mortal (1996)
642,Cosi (1996),Cosi (1996)
643,Sunset Park (1996),Cara A Cara (1996)
644,Mulholland Falls (1996),O Preço da Traição (1996)
645,"Truth About Cats & Dogs, The (1996)",Feito Cães e Gatos (1996)
646,Oliver & Company (1988),Oliver e sua Turma (1988)
647,Celtic Pride (1996),Lance Livre (1996)
648,Flipper (1996),Flipper (1996)
649,Captives (1994),Paixão de Alto Risco (1994)
650,Of Love and Shadows (1994),De Amor e de Sombras (1994)
651,Dead Man (1995),Dead Man (1995)
652,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",O Cavaleiro do Telhado E a Dama das Sombras (1995)
653,Switchblade Sisters (1975),Faca na Garganta (1975)
654,Mouth to Mouth (Boca a boca) (1995),Boca a Boca (1995)
655,"Visitors, The (Visiteurs, Les) (1993)",Os Visitantes - Eles Não Nasceram Ontem! (1993)
656,Multiplicity (1996),"Eu, Minha Mulher e Minhas Cópias (1996)"
657,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation (1996)
658,"Haunted World of Edward D. Wood Jr., The (1996)","Haunted World of Edward D. Wood Jr., The (1996)"
659,"Craft, The (1996)",Jovens Bruxas (1996)
660,"Great White Hype, The (1996)",O Trambique do Século (1996)
661,Last Dance (1996),A Última Chance (1996)
662,Cold Comfort Farm (1995),Em Busca da Felicidade (1995)
663,"Institute Benjamenta, or This Dream People Call Human Life (1995)",Instituto Benjamenta (1995)
664,Low Life (1994),Low Life (1994)
665,Heaven's Prisoners (1996),Prisioneiro do Passado (1996)
666,Original Gangstas (1996),Hot City - Justiceiros de Rua (1996)
667,"Rock, The (1996)",A Rocha (1996)
668,Getting Away With Murder (1996),Meu Vizinho Suspeito (1996)
669,Cemetery Man (Dellamorte Dellamore) (1994),Pelo amor e pela morte (1994)
670,Twister (1996),Twister (1996)
671,Barb Wire (1996),Barb Wire - A Justiceira (1996)
672,Ghost in the Shell (Kôkaku kidôtai) (1995),O Fantasma do Futuro (1995)
673,Thinner (1996),A Maldição (1996)
674,Spy Hard (1996),Duro de Espiar (1996)
675,Wallace & Gromit: A Close Shave (1995),Wallace & Gromit: Tosa Completa (1995)
676,Force of Evil (1948),A Força do Mal (1948)
677,"Stupids, The (1996)",Os babacas (1996)
678,"Arrival, The (1996)",A Invasão (1996)
679,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dr. Fantástico (1964)
680,Careful (1992),Cuidadoso (1992)
681,"Month by the Lake, A (1995)",Um Encontro Para Sempre (1995)
682,Gold Diggers: The Secret of Bear Mountain (1995),Caçadoras de Aventuras (1995)
683,Kim (1950),Kim (1950)
684,Carmen Miranda: Bananas Is My Business (1994),Carmen Miranda: Bananas Is My Business (1994)
685,Ashes of Time (Dung che sai duk) (1994),Cinzas Do Passado (1994)
686,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision (1994)
687,Stalingrad (1993),Stalingrado - A Batalha Final (1993)
688,"Phantom, The (1996)",O Fantasma (1996)
689,Striptease (1996),Striptease (1996)
690,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",Tempos de Rebeldia (1996)
691,Heavy (1995),Paixão Muda (1995)
692,Jack (1996),Jack (1996)
693,I Shot Andy Warhol (1996),Um Tiro para Andy Warhol (1996)
694,"Grass Harp, The (1995)",Ensina-me a Viver (1995)
695,Marlene Dietrich: Shadow and Light (1996),Marlene Dietrich: Shadow and Light (1996)
696,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)","Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)"
697,Spirits of the Dead (1968),Histórias Extraordinárias (1968)
698,Trainspotting (1996),Trainspotting: Sem Limites (1996)
699,'Til There Was You (1997),Encontro com o Destino (1997)
700,Independence Day (a.k.a. ID4) (1996),Independence Day (1996)
701,Stealing Beauty (1996),Beleza Roubada (1996)
702,"Fan, The (1996)",Estranha Obsessão (1996)
703,"Hunchback of Notre Dame, The (1996)",O Corcunda de Notre Dame (1996)
704,"Cable Guy, The (1996)",O Pentelho (1996)
705,Kingpin (1996),Kingpin: Estes Loucos Reis do Boliche (1996)
706,Eraser (1996),Queima de Arquivo (1996)
707,"Gate of Heavenly Peace, The (1995)","Gate of Heavenly Peace, The (1995)"
708,"Nutty Professor, The (1996)",O Professor Aloprado (1996)
709,"Unforgettable Summer, An (Un été inoubliable) (1994)",Um Verão Inesquecível (1994)
710,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
711,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
712,Midnight Dancers (Sibak) (1994),Midnight Dancers (Sibak) (1994)
713,Somebody to Love (1994),Alguém para Amar (1994)
714,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)","Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
715,Daylight (1996),Daylight (1996)
716,"Frighteners, The (1996)",Os Espíritos (1996)
717,Lone Star (1996),Lone Star - A Estrela Solitária (1996)
718,Harriet the Spy (1996),A Pequena Espiã (1996)
719,Phenomenon (1996),Fenômeno (1996)
720,Walking and Talking (1996),Amigas Curtindo Adoidado (1996)
721,She's the One (1996),Nosso Tipo de Mulher (1996)
722,"Time to Kill, A (1996)",Tempo de Matar (1996)
723,American Buffalo (1996),American Buffalo (1996)
724,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",Rendez-vous em Paris (1995)
725,Alaska (1996),Alaska: Uma Aventura Inacreditável (1996)
726,Fled (1996),A Caçada (1996)
727,Kazaam (1996),Kazaam (1996)
728,Larger Than Life (1996),Uma Herança da Pesada (1996)
729,Two Deaths (1995),Morte Dupla (1995)
730,"Very Brady Sequel, A (1996)","A Volta da Família Sol, Lá, Si, Dó (1996)"
731,Stefano Quantestorie (1993),Stefano Quantestorie (1993)
732,"Death in the Garden (Mort en ce jardin, La) (1956)",A Morte no Jardim (1956)
733,"Collector, The (La collectionneuse) (1967)",A Colecionadora (1967)
734,Kaspar Hauser (1993),Kaspar Hauser (1993)
735,"Convent, The (O Convento) (1995)","Convent, The (O Convento) (1995)"
736,"Adventures of Pinocchio, The (1996)",As Aventuras de Pinocchio (1996)
737,Joe's Apartment (1996),Joe e as Baratas (1996)
738,"First Wives Club, The (1996)",O Clube das Desquitadas (1996)
739,Stonewall (1995),Stonewall (1995)
740,Ransom (1996),O Preço de um Resgate (1996)
741,High School High (1996),Uma Escola Muito Doida (1996)
742,Phat Beach (1996),Galera da Pesada (1996)
743,Foxfire (1996),Rebeldes (1996)
744,Chain Reaction (1996),Reação em Cadeia (1996)
745,Matilda (1996),Matilda (1996)
746,Emma (1996),Emma (1996)
747,"Crow: City of Angels, The (1996)",O Corvo: A Cidade dos Anjos (1996)
748,House Arrest (1996),Uma Família Quase Perfeita (1996)
749,"Eyes Without a Face (Yeux sans visage, Les) (1959)",Os Olhos Sem Rosto (1959)
750,Tales from the Crypt Presents: Bordello of Blood (1996),O Bordel de Sangue (1996)
751,Lotto Land (1995),Lotto Land (1995)
752,"Story of Xinghua, The (Xinghua san yue tian) (1994)","Story of Xinghua, The (Xinghua san yue tian) (1994)"
753,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)","Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
754,Flirt (1995),Flerte (1995)
755,"Big Squeeze, The (1996)",Corpo de Mulher (1996)
756,"Spitfire Grill, The (1996)",Spitfire Grill: O Recomeço (1996)
757,Escape from L.A. (1996),Fuga de Los Angeles (1996)
758,Cyclo (Xich lo) (1995),O Ciclista (1995)
759,Basquiat (1996),Basquiat - Traços de Uma Vida (1996)
760,Tin Cup (1996),O Jogo da Paixão (1996)
761,Dingo (1991),Dingo (1991)
762,"Ballad of Narayama, The (Narayama Bushiko) (1958)",A Balada de Narayama (1958)
763,Mille bolle blu (1993),Mille bolle blu (1993)
764,"Godfather, The (1972)",O Poderoso Chefão (1972)
765,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",Um Homem Mais Que Desejado (1994)
766,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Police Story 3: Supercop (1992)
767,Manny & Lo (1996),Manny e Lo (1996)
768,"Wife, The (1995)","Wife, The (1995)"
769,Small Faces (1996),Fúria nas Ruas (1996)
770,Bound (1996),Ligadas pelo Desejo (1996)
771,Carpool (1996),Sequestro por Engano (1996)
